                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 0.9793,                0.82344,                0.95546,                0.86632,                 0.8803,                 0.9304,                0.60688,                0.99265,                 0.7424,                0.94295,               0.004258,               0.004258,               0.004258
                     60,                0.98524,                0.81556,                0.95515,                0.85188,                0.91327,                0.93401,                0.61448,                0.96776,                0.72217,                0.93473,               0.004159,               0.004159,               0.004159
                     61,                 1.0012,                0.81257,                0.95505,                0.90822,                 0.8733,                0.93839,                0.60634,                0.96997,                0.71059,                0.95185,                0.00406,                0.00406,                0.00406
                     62,                0.97131,                0.78614,                0.96677,                0.94544,                0.87686,                0.94068,                0.60909,                0.95006,                0.70711,                0.94479,               0.003961,               0.003961,               0.003961
                     63,                0.92748,                0.79161,                0.95221,                0.97049,                 0.8951,                0.96815,                0.61155,                0.95531,                0.71126,                0.94514,               0.003862,               0.003862,               0.003862
                     64,                0.93086,                0.76447,                0.94345,                 0.9705,                0.88709,                0.95219,                0.61671,                0.96219,                 0.7024,                0.94745,               0.003763,               0.003763,               0.003763
                     65,                0.93993,                0.77806,                0.95412,                0.92605,                0.89028,                0.95808,                0.62319,                0.98473,                0.71371,                0.94922,               0.003664,               0.003664,               0.003664
                     66,                0.95405,                 0.8035,                0.96112,                0.91443,                0.90608,                 0.9517,                0.61413,                0.97633,                0.70796,                0.94636,               0.003565,               0.003565,               0.003565
                     67,                0.94527,                0.77797,                0.93927,                0.92179,                0.91268,                0.95527,                0.62841,                0.97002,                0.70784,                0.93815,               0.003466,               0.003466,               0.003466
                     68,                0.92893,                0.75435,                0.93243,                0.95339,                0.94458,                 0.9706,                0.62675,                0.97305,                0.70203,                0.94475,               0.003367,               0.003367,               0.003367
                     69,                0.90038,                0.76847,                0.94984,                0.92329,                0.94118,                0.96962,                0.60516,                0.99006,                0.69043,                0.94869,               0.003268,               0.003268,               0.003268
                     70,                0.92791,                0.76887,                0.95594,                0.94764,                0.98202,                0.97014,                0.61033,                0.97369,                0.68336,                0.94907,               0.003169,               0.003169,               0.003169
